WELL;DEPTH_MD;X_LOC;Y_LOC;Z_LOC;GROUP;FORMATION;CALI;RSHA;RMED;RDEP;RHOB;GR;SGR;NPHI;PEF;DTC;SP;BS;ROP;DTS;DCAL;DRHO;MUDWEIGHT;RMIC;ROPA;RXO;FORCE_2020_LITHOFACIES_LITHOLOGY;FORCE_2020_LITHOFACIES_CONFIDENCE;Cluster
15/9-15;2343.304;436806.46875;6463010.5;-2318.007324;ROGALAND GP.;Lista Fm.;14.882113457;0.7712396979;0.7712396979;0.6626987457;2.2126057148;66.807357788;;0.3992969394;3.0277094841;121.57578278;88.208724976;12.250000954;12.761565208;;2.6321091652;0.1153120697;0.1437916905;;;0.5708495378;65000;1.0;2
35/3-7 S;3582.4678514;543919.75;6856653.5;-3477.858154;CROMER KNOLL GP.;Roedby Fm.;8.6456279755;;5.599960804;4.9885778427;2.6480312347;93.301193237;;0.1741082966;5.0343432426;63.601940155;;8.5;10.556080818;150.20631409;;-0.007214535;;6.6271533966;10.410796165;;65000;1.0;1
25/3-1;1075.968;487291.25;6643945.0;-1053.937988;HORDALAND GP.;;17.64682579;;0.8676094413;1.2317734957;2.044336319;41.795280457;;;0.7722585201;148.78269958;21.59683609;17.5;7.9709563255;;0.2155134678;0.051340159;0.9586111903;;;;30000;1.0;2
35/9-10 S;3580.0616;537897.75;6791142.5;-3069.179688;BAAT GP.;Rannoch Fm.;8.5727062225;;7.6345276833;8.0664777756;2.5733113289;126.8205719;;0.2572587729;3.6231968403;77.505989075;;8.5;31.773550034;140.67146301;;0.0397844464;;;;;65000;1.0;1
31/2-7;543.91293164;524586.5;6747128.5;-518.9022827;NORDLAND GP.;;17.800201416;;2.2909021378;2.9816262722;2.2250797749;40.290157318;;0.4169657528;;142.20933533;49.073467255;;;;;0.0059026899;;;;;65000;1.0;2
33/9-17;2600.5779854;438440.25;6814142.5;-2573.349854;SHETLAND GP.;Kyrre Fm.;8.527466774;1.4404975176;1.3945000172;1.3264911175;2.5178520679;79.998008728;;0.3431914151;4.400062561;109.64835358;87.75;8.5;;;;-0.00429807;;;6.8107223511;2.0372779369;65000;1.0;1
30/6-5;2325.0344;497435.71875;6728314.0;-2299.976318;SHETLAND GP.;Lista Fm.;14.65433979;1.9583959579;1.8475637436;1.6651774645;2.4079823494;27.0287323;;0.2826146185;;90.837440491;73.181236267;;;;;0.0006923315;;;;2.0878250599;70000;1.0;1
34/8-1;2787.7930232;469565.4375;6803862.0;-2746.412354;BAAT GP.;Tarbert Fm.;8.0;1.4894952774;54.155261993;36.709514618;2.1909546852;72.838905334;;0.2465569824;50.89837265;117.96438599;68.471290588;8.375;;;;-0.066900283;;;;1.8214544058;30000;1.0;1
16/4-1;1058.2016039;449949.3125;6500257.0;-1033.074951;HORDALAND GP.;Utsira Fm.;16.719783783;1.1971576214;1.2028890848;1.3388437033;1.8460177183;90.450714111;;0.510022521;;148.0894165;140.193573;14.75;1.8315352201;;1.9697844982;-0.004110952;0.1401968896;;;;65000;1.0;2
25/4-5;4269.1988051;454469.53125;6603730.0;-4243.898926;DUNLIN GP.;Smith Bank Fm.;7.9669594765;;3.7042856216;2.714086771;2.6009933949;84.792976379;;0.2418335527;;76.07673645;;8.5;;;-0.533040881;-0.008638608;;;;;65000;1.0;1
